# provenance: auROC_PR.VAL.txt joined to Oberstaller et al. 2021 mmc1.xlsx Supplementary Table 1 (PMC8187163); 152 of 167 genes matched
gene,genome_evidence_score,transcriptome_evidence_score,functional_score,total_combined_score,valid_auc,valid_aupr,test_auc,test_aupr
PF3D7_1343700,7,0,4,11,0.879567637331613,0.830917077358163,0.896214689265537,0.925669569933076
PF3D7_1335900,3,0,0,3,0.848915060095184,0.818800725963336,0.844632768361582,0.895462359692079
PF3D7_1343400,6,1,0,7,0.855307735742518,0.805567275572318,0.885084745762712,0.922000216379963
PF3D7_0720700,4,1,0,5,0.858400974025974,0.797674424636971,0.832669775907178,0.888716601079486
PF3D7_0419900,1,0,1,2,0.817897727272727,0.821372062841843,0.831987259697418,0.905793287051914
PF3D7_1362500,2,1,1,4,0.834536581430991,0.789730025066828,0.865367231638418,0.912763790901469
PF3D7_1346400,6,0,0,6,0.818827135597322,0.805039487301026,0.898474576271186,0.94341589279278
PF3D7_1343800,7,0,0,7,0.832882955553763,0.788615217124019,0.79,0.855117300523414
PF3D7_1349500,3,0,0,3,0.824917318706138,0.792430435522565,0.880564971751412,0.946101713862115
PF3D7_0102200,0,1,1,2,0.831047834153424,0.785905790271881,0.793333333333333,0.872262524362113
PF3D7_1012900,2,0,0,2,0.83498023715415,0.772047397047397,0.798983050847458,0.866078688324749
PF3D7_1239700,1,0,1,2,0.822799870936517,0.780004378008774,0.802485875706215,0.881206852593903
PF3D7_0616900,2,0,1,3,0.833528272969267,0.768134589378591,0.855536723163842,0.901075460804525
PF3D7_1318300,3,0,1,4,0.817738162458659,0.761991416197798,0.874237288135593,0.915154500821892
PF3D7_1117200,3,0,0,3,0.796846011131725,0.780287189898874,0.813841807909604,0.901068366323196
PF3D7_1460900,5,0,1,6,0.823445188352021,0.750773865975058,0.814689265536723,0.875081142486206
PF3D7_1318100,3,0,0,3,0.820258933612971,0.751393393935341,0.81593220338983,0.876854136429608
PF3D7_1450800,2,0,0,2,0.810901831088167,0.758793916979257,0.818305084745763,0.877935434054392
PF3D7_0810800,5,0,0,5,0.799286117609099,0.76798720682389,0.808022598870056,0.888112177598707
PF3D7_1442900,2,0,0,2,0.805517463902557,0.761571810315921,0.791638418079096,0.865701671929026
PF3D7_0816600,3,1,1,5,0.804388158425425,0.748734282118683,0.794519774011299,0.863977175697865
PF3D7_1451200,3,0,0,3,0.803843671856094,0.72863295430926,0.823114548970538,0.884813864811873
PF3D7_0206800,1,0,0,1,0.778293135435993,0.751629316872111,0.802372881355932,0.885295682814676
PF3D7_1147000,2,0,0,2,0.775792530450916,0.742135242612383,0.791977401129944,0.899323098283865
PF3D7_0523000,3,2,1,6,0.779785431959345,0.735950931239718,0.795875706214689,0.88005956230198
PF3D7_0316600,1,0,0,1,0.775711865773978,0.736959595124042,0.757062146892655,0.850855244867799
PF3D7_1138800,1,0,0,1,0.782870855852222,0.72162426252446,0.707570621468927,0.820353025336336
PF3D7_0104300,2,0,1,3,0.746428571428572,0.746893178646954,0.778926553672317,0.869173940196304
PF3D7_0212800,0,0,1,1,0.769500685649754,0.720525661047608,0.689887005649717,0.826941303699487
PF3D7_0321900,2,0,1,3,0.76548761797209,0.716814125974807,0.69135593220339,0.819225072358294
PF3D7_1235400,2,1,0,3,0.76706057917238,0.71327267043339,0.751694915254237,0.848370485376065
PF3D7_1447900,4,0,1,5,0.76010325078648,0.681500936342037,0.768135593220339,0.850008250296279
PF3D7_1345400,5,0,0,5,0.751734290554166,0.672001659455677,0.807796610169491,0.872014563544777
PF3D7_0302500,2,0,1,3,0.747418730337985,0.66478945760391,0.757570621468927,0.876111997075131
PF3D7_0629500,3,0,1,4,0.730176655642494,0.681967085539491,0.797401129943503,0.870633113584506
PF3D7_1145500,2,0,0,2,0.72656691134952,0.674960484630271,0.698305084745763,0.829259272981869
PF3D7_0709300,8,1,0,9,0.713317738162459,0.687125047122806,0.750790960451977,0.854207022106183
PF3D7_0918600,3,0,0,3,0.722110187948697,0.676313858837655,0.724124293785311,0.828559277504105
PF3D7_1302700,2,0,0,2,0.721343873517787,0.660433648265475,0.597909604519774,0.762563025086544
PF3D7_0628200,2,0,1,3,0.713035411793176,0.667569873856106,0.73954802259887,0.839856278001594
PF3D7_1451000,2,0,0,2,0.721041380979269,0.653817725264162,0.739717514124294,0.838781243763945
PF3D7_0813700,2,0,0,2,0.716685488424619,0.657607322483567,0.741129943502825,0.841881385727792
PF3D7_1352100,2,0,0,2,0.720436395902235,0.64909789034897,0.719830508474576,0.822990567038465
PF3D7_1036400,2,0,0,2,0.713660563039445,0.644626505559602,0.718361581920904,0.839769207197913
PF3D7_0807700,1,0,1,2,0.711159958054368,0.644136263740847,0.682316384180791,0.811509252323847
PF3D7_0609700,2,1,1,4,0.690106477373558,0.650310272184315,0.803050847457627,0.882756152597913
PF3D7_1014900,2,0,1,3,0.694119545051222,0.630401502697665,0.749265536723164,0.845813244041517
PF3D7_1211900,2,0,2,4,0.690852625635234,0.624757714340009,0.688022598870056,0.807267649483641
PF3D7_1460500,4,0,1,5,0.695753004759216,0.618444648824804,0.646271186440678,0.785639327445492
PF3D7_1136600,1,0,2,3,0.692022263450835,0.61753264047845,0.733559322033898,0.838577199492491
PF3D7_1132400,3,0,0,3,0.668327014600307,0.640791143143835,0.695141242937853,0.817397524176306
PF3D7_1476100,2,1,1,4,0.671210776800839,0.636968217061437,0.760790960451977,0.860312167956637
PF3D7_1121600,3,0,0,3,0.680588045494878,0.62185944453589,0.549717514124294,0.778738676671008
PF3D7_0812100,3,0,0,3,0.685811083326611,0.61404512051991,0.73225988700565,0.830336343469542
PF3D7_1448600,1,0,0,1,0.676171654432524,0.61862649854277,0.732203389830509,0.838101747876184
PF3D7_1468600,3,0,0,3,0.672803904170364,0.614881448177688,0.714293785310734,0.833509372312402
PF3D7_1468900,2,1,0,3,0.658042268290715,0.612154290891832,0.620282485875706,0.779637920050964
PF3D7_1036300,2,0,0,2,0.620694522868436,0.648754796357964,0.614519774011299,0.816607409702516
