Gene ID	source_id	Gene Name or Symbol	Transcript Product Description	Product Description
PF3D7_0104300	PF3D7_0104300.1	UBP1	"ubiquitin carboxyl-terminal hydrolase 1, putative"	"ubiquitin carboxyl-terminal hydrolase 1, putative"
PF3D7_0206800	PF3D7_0206800.1	MSP2	merozoite surface protein 2	merozoite surface protein 2
PF3D7_0211600	PF3D7_0211600.1	ALG14	"UDP-N-acetylglucosamine transferase subunit ALG14, putative"	"UDP-N-acetylglucosamine transferase subunit ALG14, putative"
PF3D7_0303600	PF3D7_0303600.1	Plrx	plasmoredoxin	plasmoredoxin
PF3D7_0316600	PF3D7_0316600.1	FNT	formate-nitrite transporter	formate-nitrite transporter
PF3D7_0321200	PF3D7_0321200.1	ALG7	"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative"	"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative"
PF3D7_0403500	PF3D7_0403500.1	USP	ubiquitin-specific protease	ubiquitin-specific protease
PF3D7_0419900	PF3D7_0419900.1	N/A	"phosphatidylinositol 4-kinase, putative"	"phosphatidylinositol 4-kinase, putative"
PF3D7_0505500	PF3D7_0505500.1	MSH6	"DNA mismatch repair protein MSH6, putative"	"DNA mismatch repair protein MSH6, putative"
PF3D7_0508300	PF3D7_0508300.1	TPT	triose phosphate transporter	triose phosphate transporter
PF3D7_0509800	PF3D7_0509800.1	PI4KB	phosphatidylinositol 4-kinase beta	phosphatidylinositol 4-kinase beta
PF3D7_0516500	PF3D7_0516500.1	MFS1	"major facilitator superfamily domain-containing protein, putative"	"major facilitator superfamily domain-containing protein, putative"
PF3D7_0522600	PF3D7_0522600.1	N/A	"magnesium transporter NIPA, putative"	"magnesium transporter NIPA, putative"
PF3D7_0530200	PF3D7_0530200.1	PPT	phosphoenolpyruvate/phosphate translocator	phosphoenolpyruvate/phosphate translocator
PF3D7_0603300	PF3D7_0603300.1	DHODH	dihydroorotate dehydrogenase	dihydroorotate dehydrogenase
PF3D7_0609700	PF3D7_0609700.1	KIC6	protein KIC6	protein KIC6
PF3D7_0615500	PF3D7_0615500.1	CRK5	cdc2-related protein kinase 5	cdc2-related protein kinase 5
PF3D7_0616900	PF3D7_0616900.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_0628200	PF3D7_0628200.1	PK4	eukaryotic translation initiation factor 2-alpha kinase	eukaryotic translation initiation factor 2-alpha kinase
PF3D7_0629500	PF3D7_0629500.1	AAT1	amino acid transporter AAT1	amino acid transporter AAT1
PF3D7_0702200	PF3D7_0702200.1	LPL20	lysophospholipase LPL20	lysophospholipase LPL20
PF3D7_0705900	PF3D7_0705900.1	N/A	"ATP synthase subunit C, putative"	"ATP synthase subunit C, putative"
PF3D7_0706700	PF3D7_0706700.1	MSH2-2	"DNA mismatch repair protein MSH2, putative"	"DNA mismatch repair protein MSH2, putative"
PF3D7_0708600	PF3D7_0708600.1	IMC1d	"inner membrane complex protein 1d, putative"	"inner membrane complex protein 1d, putative"
PF3D7_0708900	PF3D7_0708900.1	SCO1	"protein SCO1, putative"	"protein SCO1, putative"
PF3D7_0709300	PF3D7_0709300.1	MED14	"mediator of RNA polymerase II transcription subunit 14, putative"	"mediator of RNA polymerase II transcription subunit 14, putative"
PF3D7_0715500	PF3D7_0715500.1	N/A	"ATP synthase subunit epsilon, mitochondrial, putative"	"ATP synthase subunit epsilon, mitochondrial, putative"
PF3D7_0802200	PF3D7_0802200.1	1-CysPxn	1-cys peroxiredoxin	1-cys peroxiredoxin
PF3D7_0806400	PF3D7_0806400.1	ALG13	"UDP-N-acetylglucosamine transferase subunit ALG13, putative"	"UDP-N-acetylglucosamine transferase subunit ALG13, putative"
PF3D7_0812100	PF3D7_0812100.1	N/A	"proteasome activator complex subunit 4, putative"	"proteasome activator complex subunit 4, putative"
PF3D7_0813700	PF3D7_0813700.1	ABCF1	ABC transporter F family member 1	ABC transporter F family member 1
PF3D7_0816600	PF3D7_0816600.1	ClpB1	chaperone protein ClpB1	chaperone protein ClpB1
PF3D7_0823300	PF3D7_0823300.1	GCN5	histone acetyltransferase GCN5	histone acetyltransferase GCN5
PF3D7_0914400	PF3D7_0914400.1	KIC3	protein KIC3	protein KIC3
PF3D7_0918600	PF3D7_0918600.1	RECQ1	ATP-dependent DNA helicase Q1	ATP-dependent DNA helicase Q1
PF3D7_0918900	PF3D7_0918900.1	gammaGCS	gamma-glutamylcysteine synthetase	gamma-glutamylcysteine synthetase
PF3D7_1012900	PF3D7_1012900.1	ATG18	autophagy-related protein 18	autophagy-related protein 18
PF3D7_1014900	PF3D7_1014900.1	KIC8	protein KIC8	protein KIC8
PF3D7_1017400	PF3D7_1017400.1	HAD5	phosphomannomutase	phosphomannomutase
PF3D7_1022600	PF3D7_1022600.1	Kelch10	kelch protein K10	kelch protein K10
PF3D7_1025000	PF3D7_1025000.1	EPS15	Eps15-like protein	Eps15-like protein
PF3D7_1036400	PF3D7_1036400.1	LSA1	liver stage antigen 1	liver stage antigen 1
PF3D7_1036800	PF3D7_1036800.1	AT1	"acetyl-CoA transporter 1, putative"	"acetyl-CoA transporter 1, putative"
PF3D7_1113300	PF3D7_1113300.1	UGT	"UDP-galactose transporter, putative"	"UDP-galactose transporter, putative"
PF3D7_1115600	PF3D7_1115600.1	CYP19B	peptidyl-prolyl cis-trans isomerase	peptidyl-prolyl cis-trans isomerase
PF3D7_1115700	PF3D7_1115700.1	FP2A	cysteine proteinase falcipain 2a	cysteine proteinase falcipain 2a
PF3D7_1117200	PF3D7_1117200.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1121600	PF3D7_1121600.1	EXP1	exported protein 1	exported protein 1
PF3D7_1122500	PF3D7_1122500.1	KIC10	protein KIC10	protein KIC10
PF3D7_1129100	PF3D7_1129100.1	PV1	parasitophorous vacuolar protein 1	parasitophorous vacuolar protein 1
PF3D7_1137400	PF3D7_1137400.1	N/A	"regulator of chromosome condensation, putative"	"regulator of chromosome condensation, putative"
PF3D7_1138300	PF3D7_1138300.1	N/A	"conserved protein, unknown function"	"conserved protein, unknown function"
PF3D7_1145500	PF3D7_1145500.1	ABCB3	"ABC transporter B family member 3, putative"	"ABC transporter B family member 3, putative"
PF3D7_1147700	PF3D7_1147700.1	N/A	"ATP synthase subunit delta, mitochondrial, putative"	"ATP synthase subunit delta, mitochondrial, putative"
PF3D7_1209600	PF3D7_1209600.1	PBGD	porphobilinogen deaminase	porphobilinogen deaminase
PF3D7_1211900	PF3D7_1211900.1	ATP4	non-SERCA-type Ca2+ -transporting P-ATPase	non-SERCA-type Ca2+ -transporting P-ATPase
PF3D7_1213800	PF3D7_1213800.1	PRS	proline--tRNA ligase	proline--tRNA ligase
PF3D7_1219100	PF3D7_1219100.1	CHC	"clathrin heavy chain, putative"	"clathrin heavy chain, putative"
PF3D7_1229100	PF3D7_1229100.1	MRP2	multidrug resistance-associated protein 2	multidrug resistance-associated protein 2
PF3D7_1239700	PF3D7_1239700.1	FTSH1	ATP-dependent zinc metalloprotease FTSH 1	ATP-dependent zinc metalloprotease FTSH 1
PF3D7_1242600	PF3D7_1242600.1	N/A	protein farnesyltransferase subunit alpha	protein farnesyltransferase subunit alpha
PF3D7_1251200	PF3D7_1251200.1	N/A	coronin	coronin
PF3D7_1303500	PF3D7_1303500.1	NHE	sodium/hydrogen exchanger	sodium/hydrogen exchanger
PF3D7_1310000	PF3D7_1310000.1	OSCP	"ATP synthase subunit O, mitochondrial, putative"	"ATP synthase subunit O, mitochondrial, putative"
PF3D7_1322700	PF3D7_1322700.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1324400	PF3D7_1324400.1	PRELID	"PRELI domain-containing protein, putative"	"PRELI domain-containing protein, putative"
PF3D7_1335900	PF3D7_1335900.1	TRAP	thrombospondin-related anonymous protein	thrombospondin-related anonymous protein
PF3D7_1343800	PF3D7_1343800.1	N/A	"VPS13 domain-containing protein, putative"	"VPS13 domain-containing protein, putative"
PF3D7_1345400	PF3D7_1345400.1	N/A	"conserved Plasmodium protein, unknown function"	"conserved Plasmodium protein, unknown function"
PF3D7_1346400	PF3D7_1346400.1	N/A	"VPS13 domain-containing protein, putative"	"VPS13 domain-containing protein, putative"
PF3D7_1350900	PF3D7_1350900.1	ApiAP2	"AP2 domain transcription factor AP2-O4, putative"	"AP2 domain transcription factor AP2-O4, putative"
PF3D7_1352100	PF3D7_1352100.1	ABCB6	"ABC transporter B family member 6, putative"	"ABC transporter B family member 6, putative"
PF3D7_1401500	PF3D7_1401500.1	N/A	"esterase, putative"	"esterase, putative"
PF3D7_1408000	PF3D7_1408000.1	PMII	plasmepsin II	plasmepsin II
PF3D7_1408100	PF3D7_1408100.1	PMIII	plasmepsin III	plasmepsin III
PF3D7_1412800	PF3D7_1412800.1	NMT	glycylpeptide N-tetradecanoyltransferase	glycylpeptide N-tetradecanoyltransferase
PF3D7_1413500	PF3D7_1413500.1	SufC	iron-sulfur cluster assembly protein SufC	iron-sulfur cluster assembly protein SufC
PF3D7_1434000	PF3D7_1434000.1	CAF16	"CCR4-associated factor 16, putative"	"CCR4-associated factor 16, putative"
PF3D7_1436600	PF3D7_1436600.1	PKG	cGMP-dependent protein kinase	cGMP-dependent protein kinase
PF3D7_1438900	PF3D7_1438900.1	Trx-Px1	thioredoxin peroxidase 1	thioredoxin peroxidase 1
PF3D7_1442400	PF3D7_1442400.1	KIC9	protein KIC9	protein KIC9
PF3D7_1442900	PF3D7_1442900.1	ARFGEF	"Sec7 domain-containing protein ARFGEF, putative"	"Sec7 domain-containing protein ARFGEF, putative"
PF3D7_1448400	PF3D7_1448400.1	HRD3	"ubiquitin-protein ligase, putative"	"ubiquitin-protein ligase, putative"
