gene_id,in_plasmodb_query,chromosomal,in_kucharski_review,in_analysed_panel,sequence_shipped,membership_reason,gene_symbol,product_description
PF3D7_0102200,True,True,False,True,True,retained from PlasmoDB query,RESA,ring-infected erythrocyte surface antigen
PF3D7_0104300,True,True,True,True,True,retained from PlasmoDB query,UBP1,"ubiquitin carboxyl-terminal hydrolase 1, putative"
PF3D7_0106300,True,True,False,False,False,excluded: reason not documented in Methods,,calcium-transporting ATPase
PF3D7_0112200,True,True,False,False,False,excluded: reason not documented in Methods,,multidrug resistance-associated protein 1
PF3D7_0206800,True,True,False,True,True,retained from PlasmoDB query,MSP2,merozoite surface protein 2
PF3D7_0211600,True,True,False,True,True,retained from PlasmoDB query,ALG14,"UDP-N-acetylglucosamine transferase subunit ALG14, putative"
PF3D7_0212800,True,True,False,True,True,retained from PlasmoDB query,MATE,"multidrug efflux pump, putative"
PF3D7_0217100,True,True,False,True,True,retained from PlasmoDB query,nan,"ATP synthase subunit alpha, mitochondrial"
PF3D7_0302500,True,True,False,True,True,retained from PlasmoDB query,CLAG3.1,cytoadherence linked asexual protein 3.1
PF3D7_0302600,True,True,False,False,False,excluded: reason not documented in Methods,,"ABC transporter B family member 4, putative"
PF3D7_0303600,True,True,False,True,True,retained from PlasmoDB query,Plrx,plasmoredoxin
PF3D7_0309200,True,True,False,True,True,retained from PlasmoDB query,ARK2,"aurora-related kinase ARK2, putative"
PF3D7_0316600,True,True,False,True,True,retained from PlasmoDB query,FNT,formate-nitrite transporter
PF3D7_0317100,True,True,False,True,True,retained from PlasmoDB query,B9,6-cysteine protein B9
PF3D7_0319700,True,True,False,False,False,excluded: reason not documented in Methods,,"ABC transporter I family member 1, putative"
PF3D7_0321200,True,True,False,True,True,retained from PlasmoDB query,ALG7,"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative"
PF3D7_0321900,True,True,False,True,True,retained from PlasmoDB query,CARL,cyclic amine resistance locus protein
PF3D7_0403500,True,True,False,True,True,retained from PlasmoDB query,USP,ubiquitin-specific protease
PF3D7_0409300,True,True,False,False,False,excluded: reason not documented in Methods,,"methyltransferase, putative"
PF3D7_0417200,True,True,False,False,False,excluded: reason not documented in Methods,,bifunctional dihydrofolate reductase-thymidylate synthase
PF3D7_0417400,True,True,False,False,False,excluded: reason not documented in Methods,,"conserved Plasmodium protein, unknown function"
PF3D7_0419900,False,True,True,True,True,added: literature ART-R gene (Kucharski review),nan,
PF3D7_0422000,True,True,False,True,True,retained from PlasmoDB query,nan,"steroid dehydrogenase, putative"
PF3D7_0505300,True,True,False,True,True,retained from PlasmoDB query,nan,"UDP-N-acetylglucosamine transporter, putative"
