# provenance: auROC_PR.VAL.txt grouped by data/raw/gene_lists/kucharski_artr_12.tsv
gene,gene_symbol,group,valid_auc,valid_aupr,test_auc,test_aupr
PF3D7_1343700,Kelch13,Other candidate genes,0.879567637331613,0.830917077358163,0.896214689265537,0.925669569933076
PF3D7_1335900,TRAP,Other candidate genes,0.848915060095184,0.818800725963336,0.844632768361582,0.895462359692079
PF3D7_1343400,RAD5,Reported ART-R genes,0.855307735742518,0.805567275572318,0.885084745762712,0.922000216379963
PF3D7_0720700,PX1,Other candidate genes,0.858400974025974,0.797674424636971,0.832669775907178,0.888716601079486
PF3D7_0419900,PF3D7_0419900,Reported ART-R genes,0.817897727272727,0.821372062841843,0.831987259697418,0.905793287051914
PF3D7_1362500,EXO,Other candidate genes,0.834536581430991,0.789730025066828,0.865367231638418,0.912763790901469
PF3D7_1346400,PF3D7_1346400,Other candidate genes,0.818827135597322,0.805039487301026,0.898474576271186,0.94341589279278
PF3D7_1343800,PF3D7_1343800,Other candidate genes,0.832882955553763,0.788615217124019,0.79,0.855117300523414
PF3D7_1349500,PF3D7_1349500,Other candidate genes,0.824917318706138,0.792430435522565,0.880564971751412,0.946101713862115
PF3D7_0102200,RESA,Other candidate genes,0.831047834153424,0.785905790271881,0.793333333333333,0.872262524362113
PF3D7_1012900,ATG18,Reported ART-R genes,0.83498023715415,0.772047397047397,0.798983050847458,0.866078688324749
PF3D7_1239700,FTSH1,Other candidate genes,0.822799870936517,0.780004378008774,0.802485875706215,0.881206852593903
PF3D7_0616900,PF3D7_0616900,Other candidate genes,0.833528272969267,0.768134589378591,0.855536723163842,0.901075460804525
PF3D7_1318300,PF3D7_1318300,Other candidate genes,0.817738162458659,0.761991416197798,0.874237288135593,0.915154500821892
PF3D7_1117200,PF3D7_1117200,Other candidate genes,0.796846011131725,0.780287189898874,0.813841807909604,0.901068366323196
PF3D7_1460900,ARPS10,Reported ART-R genes,0.823445188352021,0.750773865975058,0.814689265536723,0.875081142486206
PF3D7_1318100,FD,Reported ART-R genes,0.820258933612971,0.751393393935341,0.81593220338983,0.876854136429608
PF3D7_1450800,PF3D7_1450800,Other candidate genes,0.810901831088167,0.758793916979257,0.818305084745763,0.877935434054392
PF3D7_0810800,PPPK-DHPS,Other candidate genes,0.799286117609099,0.76798720682389,0.808022598870056,0.888112177598707
PF3D7_1442900,ARFGEF,Other candidate genes,0.805517463902557,0.761571810315921,0.791638418079096,0.865701671929026
PF3D7_0816600,ClpB1,Other candidate genes,0.804388158425425,0.748734282118683,0.794519774011299,0.863977175697865
PF3D7_1451200,PF3D7_1451200,Other candidate genes,0.803843671856094,0.72863295430926,0.823114548970538,0.884813864811873
PF3D7_0206800,MSP2,Other candidate genes,0.778293135435993,0.751629316872111,0.802372881355932,0.885295682814676
PF3D7_1147000,SLARP,Other candidate genes,0.775792530450916,0.742135242612383,0.791977401129944,0.899323098283865
PF3D7_0523000,MDR1,Other candidate genes,0.779785431959345,0.735950931239718,0.795875706214689,0.88005956230198
PF3D7_0316600,FNT,Other candidate genes,0.775711865773978,0.736959595124042,0.757062146892655,0.850855244867799
PF3D7_1138800,PF3D7_1138800,Other candidate genes,0.782870855852222,0.72162426252446,0.707570621468927,0.820353025336336
PF3D7_0104300,UBP1,Reported ART-R genes,0.746428571428572,0.746893178646954,0.778926553672317,0.869173940196304
PF3D7_0212800,MATE,Other candidate genes,0.769500685649754,0.720525661047608,0.689887005649717,0.826941303699487
PF3D7_0321900,CARL,Other candidate genes,0.76548761797209,0.716814125974807,0.69135593220339,0.819225072358294
PF3D7_1235400,PF3D7_1235400,Other candidate genes,0.76706057917238,0.71327267043339,0.751694915254237,0.848370485376065
PF3D7_1447900,MDR2,Reported ART-R genes,0.76010325078648,0.681500936342037,0.768135593220339,0.850008250296279
PF3D7_1345400,PF3D7_1345400,Other candidate genes,0.751734290554166,0.672001659455677,0.807796610169491,0.872014563544777
PF3D7_0302500,CLAG3.1,Other candidate genes,0.747418730337985,0.66478945760391,0.757570621468927,0.876111997075131
PF3D7_0629500,AAT1,Other candidate genes,0.730176655642494,0.681967085539491,0.797401129943503,0.870633113584506
PF3D7_1145500,ABCB3,Other candidate genes,0.72656691134952,0.674960484630271,0.698305084745763,0.829259272981869
PF3D7_0709300,MED14,Other candidate genes,0.713317738162459,0.687125047122806,0.750790960451977,0.854207022106183
PF3D7_0918600,RECQ1,Other candidate genes,0.722110187948697,0.676313858837655,0.724124293785311,0.828559277504105
PF3D7_1302700,PF3D7_1302700,Other candidate genes,0.721343873517787,0.660433648265475,0.597909604519774,0.762563025086544
PF3D7_0628200,PK4,Other candidate genes,0.713035411793176,0.667569873856106,0.73954802259887,0.839856278001594
PF3D7_1451000,PF3D7_1451000,Other candidate genes,0.721041380979269,0.653817725264162,0.739717514124294,0.838781243763945
PF3D7_0813700,ABCF1,Other candidate genes,0.716685488424619,0.657607322483567,0.741129943502825,0.841881385727792
PF3D7_1352100,ABCB6,Other candidate genes,0.720436395902235,0.64909789034897,0.719830508474576,0.822990567038465
PF3D7_1036400,LSA1,Other candidate genes,0.713660563039445,0.644626505559602,0.718361581920904,0.839769207197913
PF3D7_0807700,DegP,Other candidate genes,0.711159958054368,0.644136263740847,0.682316384180791,0.811509252323847
PF3D7_0609700,KIC6,Other candidate genes,0.690106477373558,0.650310272184315,0.803050847457627,0.882756152597913
PF3D7_1401500,PF3D7_1401500,Other candidate genes,0.701056707267887,0.638078192797359,0.647175141242938,0.786346300533943
PF3D7_1014900,KIC8,Other candidate genes,0.694119545051222,0.630401502697665,0.749265536723164,0.845813244041517
PF3D7_1211900,ATP4,Other candidate genes,0.690852625635234,0.624757714340009,0.688022598870056,0.807267649483641
PF3D7_1460500,PF3D7_1460500,Other candidate genes,0.695753004759216,0.618444648824804,0.646271186440678,0.785639327445492
PF3D7_1136600,MRST,Other candidate genes,0.692022263450835,0.61753264047845,0.733559322033898,0.838577199492491
PF3D7_0309200,ARK2,Other candidate genes,0.688916673388723,0.620420411243964,0.776892655367232,0.852437804322386
PF3D7_1132400,PF3D7_1132400,Other candidate genes,0.668327014600307,0.640791143143835,0.695141242937853,0.817397524176306
PF3D7_1476100,ETRAMP14.2,Other candidate genes,0.671210776800839,0.636968217061437,0.760790960451977,0.860312167956637
PF3D7_1121600,EXP1,Other candidate genes,0.680588045494878,0.62185944453589,0.549717514124294,0.778738676671008
PF3D7_0812100,PF3D7_0812100,Other candidate genes,0.685811083326611,0.61404512051991,0.73225988700565,0.830336343469542
PF3D7_1448600,VTI1,Other candidate genes,0.676171654432524,0.61862649854277,0.732203389830509,0.838101747876184
PF3D7_1022600,Kelch10,Other candidate genes,0.675667500201662,0.617328981547822,0.625480225988701,0.774980790553335
PF3D7_1468600,PF3D7_1468600,Other candidate genes,0.672803904170364,0.614881448177688,0.714293785310734,0.833509372312402
PF3D7_1468900,PF3D7_1468900,Other candidate genes,0.658042268290715,0.612154290891832,0.620282485875706,0.779637920050964
PF3D7_1036300,DBLMSP2,Other candidate genes,0.620694522868436,0.648754796357964,0.614519774011299,0.816607409702516
PF3D7_1450700,PF3D7_1450700,Other candidate genes,0.633116883116883,0.628300819362167,0.654067796610169,0.830591833992375
PF3D7_1129100,PV1,Other candidate genes,0.665564249415181,0.591577566507248,0.633502824858757,0.776472758037225
PF3D7_1229100,MRP2,Other candidate genes,0.648826328950552,0.604911454471141,0.552429378531074,0.745484388132404
PF3D7_0801700,SENP2,Reported ART-R genes,0.630878438331855,0.589863944502842,0.650395480225989,0.80096326073031
PF3D7_1251200,PF3D7_1251200,Reported ART-R genes,0.636141808502057,0.579782660993795,0.563954802259887,0.744344460570876
PF3D7_0616200,NDC80,Other candidate genes,0.628599661208357,0.566449633503135,0.686723163841808,0.80262714867978
PF3D7_1115700,FP2A,Other candidate genes,0.602242478018875,0.592342052498487,0.565480225988701,0.76642176729499
PF3D7_1434000,CAF16,Other candidate genes,0.62273130596112,0.568494124922696,0.553841807909604,0.738678103793828
PF3D7_1442400,KIC9,Other candidate genes,0.595063321771396,0.582151417686454,0.69316384180791,0.813316228720123
PF3D7_1448400,HRD3,Reported ART-R genes,0.61379769299024,0.554661803568351,0.576158192090395,0.751098441427853
PF3D7_0709400,PF3D7_0709400,Other candidate genes,0.607102524804388,0.558971202524421,0.609152542372881,0.76894820625397
PF3D7_0823300,GCN5,Other candidate genes,0.600246027264661,0.556303625607879,0.591920903954802,0.761629042965247
PF3D7_1122500,KIC10,Other candidate genes,0.592986206340244,0.562634358531992,0.628135593220339,0.773987211870506
PF3D7_0709000,CRT,Reported ART-R genes,0.559691860934097,0.59521825845728,0.526892655367232,0.750114492763043
PF3D7_0709700,PARE,Other candidate genes,0.60167782528031,0.546241351039606,0.609435028248588,0.76873402693419
PF3D7_1408100,PMIII,Other candidate genes,0.601758489957248,0.545924310887814,0.589887005649717,0.756087565475757
PF3D7_1408000,PMII,Other candidate genes,0.600891344680165,0.546479623409466,0.574915254237288,0.750503492273002
PF3D7_1242600,PF3D7_1242600,Other candidate genes,0.600306525772364,0.546634611933119,0.549774011299435,0.74952750194353
PF3D7_1227700,KIC2,Other candidate genes,0.590243607324353,0.538621854703275,0.532542372881356,0.731292665214234
PF3D7_0211600,ALG14,Other candidate genes,0.589073969508752,0.53809789067142,0.540847457627119,0.734654066985646
PF3D7_0715800,DMT1,Other candidate genes,0.586311204323627,0.536516674837196,0.62638418079096,0.776380593964293
PF3D7_1209900,ABCB7,Other candidate genes,0.578869887876099,0.542981166634562,0.540677966101695,0.73693456302152
PF3D7_0606000,KIC1,Other candidate genes,0.567193675889328,0.52975259327874,0.646045197740113,0.783780642917797
PF3D7_1303500,NHE,Other candidate genes,0.548358473824312,0.546290735366956,0.64090395480226,0.794438729476438
PF3D7_1036800,AT1,Other candidate genes,0.556283778333468,0.529408937549832,0.588531073446328,0.766798577884104
PF3D7_0936700,PF3D7_0936700,Other candidate genes,0.551968218117286,0.529770595581854,0.586158192090395,0.755122516668359
PF3D7_1467400,RPL22,Other candidate genes,0.555134306687102,0.520925678902703,0.562881355932203,0.745809409888357
PF3D7_1435500,CLC,Other candidate genes,0.553642010163749,0.518411838777386,0.60090395480226,0.763761660003807
PF3D7_1238800,ACS11,Other candidate genes,0.543478260869565,0.511627906976744,0.542372881355932,0.735294117647059
PF3D7_0708800,HSP110c,Other candidate genes,0.543377430023393,0.511577809605313,0.559322033898305,0.742574257425743
PF3D7_0508300,TPT,Other candidate genes,0.543216100669517,0.511565504631761,0.525423728813559,0.728155339805825
