gene,status,n_features,protein_len,pooling,n_train,n_valid,n_test,valid_auc,test_auc
PF3D7_1346400,ok,5988,5988,axis1_perres,769,315,209,0.8205,0.9015
PF3D7_1349500,ok,3381,3381,axis1_perres,769,315,209,0.8248,0.8598
PF3D7_1343700,ok,1536,726,axis0_1536,769,315,209,0.8796,0.8962
PF3D7_1343400,ok,1452,1452,axis1_perres,769,315,209,0.8545,0.884
PF3D7_1318300,ok,1536,1840,axis0_1536,769,315,209,0.8218,0.8742
PF3D7_1362500,ok,1536,713,axis0_1536,769,315,209,0.8249,0.8654
PF3D7_0616900,ok,1536,1321,axis0_1536,769,315,209,0.8334,0.8555
PF3D7_1335900,ok,1536,574,axis0_1536,769,315,209,0.8491,0.8425
PF3D7_0419900,ok,5035,5035,axis1_perres,769,314,208,0.8103,0.8319
PF3D7_0720700,ok,2166,2166,axis1_perres,769,314,208,0.8536,0.8347
PF3D7_1117200,ok,1536,1821,axis0_1536,769,315,209,0.7999,0.8212
PF3D7_1451200,ok,1504,1504,axis1_perres,769,315,208,0.8042,0.8239
PF3D7_1450800,ok,449,449,axis1_perres,769,315,209,0.8107,0.8183
PF3D7_0810800,ok,1536,706,axis0_1536,769,315,209,0.799,0.808
PF3D7_1318100,ok,194,194,axis1_perres,769,315,209,0.8221,0.818
PF3D7_1147000,ok,1536,2940,axis0_1536,769,315,209,0.7869,0.7933
PF3D7_1460900,ok,274,274,axis1_perres,769,315,209,0.8234,0.8147
PF3D7_0206800,ok,1536,272,axis0_1536,769,315,209,0.7772,0.8042
PF3D7_0609700,ok,1536,1901,axis0_1536,769,315,209,0.6924,0.8191
PF3D7_1239700,ok,1536,880,axis0_1536,769,315,209,0.8184,0.8028
PF3D7_1345400,ok,1474,1474,axis1_perres,769,315,209,0.7518,0.8078
PF3D7_0523000,ok,1536,1419,axis0_1536,769,315,209,0.7776,0.7958
PF3D7_0629500,ok,1536,606,axis0_1536,769,315,209,0.7301,0.7974
PF3D7_0102200,ok,1536,1085,axis0_1536,769,315,209,0.8248,0.7948
PF3D7_1012900,ok,380,380,axis1_perres,769,315,209,0.835,0.799
PF3D7_0816600,ok,1536,1070,axis0_1536,769,315,209,0.8066,0.7945
PF3D7_1442900,ok,1536,3384,axis0_1536,769,315,209,0.8048,0.7866
PF3D7_0104300,ok,3499,3499,axis1_perres,769,314,209,0.7569,0.7582
PF3D7_1343800,ok,1536,7594,axis0_1536,769,315,209,0.8233,0.7912
PF3D7_0302500,ok,1536,1417,axis0_1536,769,315,209,0.753,0.7649
PF3D7_0309200,ok,1536,1650,axis0_1536,769,315,209,0.6858,0.7771
PF3D7_1476100,ok,1536,177,axis0_1536,769,315,209,0.6719,0.7571
PF3D7_1447900,ok,1024,1024,axis1_perres,769,315,209,0.7542,0.7672
PF3D7_0316600,ok,1536,309,axis0_1536,769,315,209,0.7757,0.7571
PF3D7_0709300,ok,1536,2729,axis0_1536,769,315,209,0.6934,0.748
PF3D7_1235400,ok,1536,1161,axis0_1536,769,315,209,0.7586,0.7416
PF3D7_1014900,ok,1536,2279,axis0_1536,769,315,209,0.7023,0.7576
PF3D7_0813700,ok,1536,1419,axis0_1536,769,315,209,0.7117,0.7405
PF3D7_0628200,ok,1536,3072,axis0_1536,769,315,209,0.7163,0.7456
PF3D7_1451000,ok,804,804,axis1_perres,769,315,209,0.7199,0.7422
PF3D7_1136600,ok,1536,1322,axis0_1536,769,315,209,0.6494,0.7251
PF3D7_1448600,ok,1536,253,axis0_1536,769,315,209,0.6762,0.7322
PF3D7_0812100,ok,1536,2651,axis0_1536,769,315,209,0.6609,0.5653
PF3D7_1036400,ok,1536,1162,axis0_1536,769,315,209,0.7006,0.7221
PF3D7_0918600,ok,1536,728,axis0_1536,769,315,209,0.7129,0.7241
PF3D7_1468600,ok,1536,2008,axis0_1536,769,315,209,0.6701,0.7145
PF3D7_1352100,ok,1536,1049,axis0_1536,769,315,209,0.7202,0.7157
PF3D7_1138800,ok,1920,1920,axis1_perres,769,315,209,0.7891,0.708
PF3D7_1145500,ok,1536,833,axis0_1536,769,315,209,0.7268,0.6983
PF3D7_0212800,ok,1536,1224,axis0_1536,769,315,209,0.7714,0.7006
PF3D7_0321900,ok,1536,1283,axis0_1536,769,315,209,0.7598,0.6865
PF3D7_1302700,ok,1536,1566,axis0_1536,769,315,209,0.726,0.5925
PF3D7_0807700,ok,1536,870,axis0_1536,769,315,209,0.7086,0.6813
PF3D7_1401500,ok,1536,373,axis0_1536,769,315,209,0.7011,0.6472
PF3D7_1211900,ok,1536,1264,axis0_1536,769,315,209,0.6908,0.688
PF3D7_1460500,ok,1632,1632,axis1_perres,768,315,209,0.6981,0.6484
