Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Score
PF3D7_0102200	PF3D7_0102200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:97,590..103,615(+)	ring-infected erythrocyte surface antigen	2.913
PF3D7_0104300	PF3D7_0104300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:188,420..201,324(+)	ubiquitin carboxyl-terminal hydrolase 1, putative	30.86
PF3D7_0106300	PF3D7_0106300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:264,487..270,234(-)	calcium-transporting ATPase	15.6
PF3D7_0112200	PF3D7_0112200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:463,764..471,891(+)	multidrug resistance-associated protein 1	44.79
PF3D7_0206800	PF3D7_0206800.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:271,576..274,917(-)	merozoite surface protein 2	2.759
PF3D7_0211600	PF3D7_0211600.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:467,682..468,518(+)	UDP-N-acetylglucosamine transferase subunit ALG14, putative	2.839
PF3D7_0212800	PF3D7_0212800.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:526,387..531,923(+)	multidrug efflux pump, putative	11.34
PF3D7_0217100	PF3D7_0217100.1	Plasmodium falciparum 3D7	Pf3D7_02_v3:707,101..709,839(+)	ATP synthase subunit alpha, mitochondrial	5.81
PF3D7_0302500	PF3D7_0302500.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:134,486..141,185(+)	cytoadherence linked asexual protein 3.1	2.698
PF3D7_0302600	PF3D7_0302600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:141,335..146,155(+)	ABC transporter B family member 4, putative	3.829
PF3D7_0303600	PF3D7_0303600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:189,682..190,816(+)	plasmoredoxin	6.514
PF3D7_0309200	PF3D7_0309200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:388,943..396,419(-)	aurora-related kinase ARK2, putative	5.461
PF3D7_0316600	PF3D7_0316600.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:668,469..672,475(-)	formate-nitrite transporter	3.466
PF3D7_0317100	PF3D7_0317100.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:686,282..689,482(+)	6-cysteine protein B9	0.9887
PF3D7_0319700	PF3D7_0319700.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:820,232..831,283(+)	ABC transporter I family member 1, putative	4.278
PF3D7_0321200	PF3D7_0321200.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:886,593..889,386(-)	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative	8.686
PF3D7_0321900	PF3D7_0321900.1	Plasmodium falciparum 3D7	Pf3D7_03_v3:921,776..928,618(+)	cyclic amine resistance locus protein	44.79
PF3D7_0403500	PF3D7_0403500.1	Plasmodium falciparum 3D7	Pf3D7_04_v3:195,272..196,988(+)	ubiquitin-specific protease	8.576
PF3D7_0409300	PF3D7_0409300.1	Plasmodium falciparum 3D7	Pf3D7_04_v3:440,536..445,079(-)	methyltransferase, putative	7.402
PF3D7_0417200	PF3D7_0417200.1	Plasmodium falciparum 3D7	Pf3D7_04_v3:747,897..750,065(+)	bifunctional dihydrofolate reductase-thymidylate synthase	18.26
PF3D7_0417400	PF3D7_0417400.1	Plasmodium falciparum 3D7	Pf3D7_04_v3:755,176..777,060(+)	conserved Plasmodium protein, unknown function	8.832
PF3D7_0422000	PF3D7_0422000.1	Plasmodium falciparum 3D7	Pf3D7_04_v3:997,886..1,000,908(+)	steroid dehydrogenase, putative	6.827
PF3D7_0505300	PF3D7_0505300.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:233,139..235,836(+)	UDP-N-acetylglucosamine transporter, putative	8.161
PF3D7_0505500	PF3D7_0505500.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:238,878..243,954(-)	DNA mismatch repair protein MSH6, putative	5.382
PF3D7_0508300	PF3D7_0508300.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:340,652..344,452(+)	triose phosphate transporter	8.666
PF3D7_0509800	PF3D7_0509800.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:409,403..415,758(+)	phosphatidylinositol 4-kinase beta	9.913
PF3D7_0511000	PF3D7_0511000.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:467,139..468,451(-)	translationally-controlled tumor protein homolog	5.371
PF3D7_0515300	PF3D7_0515300.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:628,784..635,412(+)	phosphatidylinositol 3-kinase	23.72
PF3D7_0516500	PF3D7_0516500.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:683,708..685,859(+)	major facilitator superfamily domain-containing protein, putative	11.7
PF3D7_0522600	PF3D7_0522600.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:939,097..942,014(+)	magnesium transporter NIPA, putative	8.47
PF3D7_0523000	PF3D7_0523000.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:955,955..963,095(+)	multidrug resistance protein 1	56.63
PF3D7_0528100	PF3D7_0528100.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:1,157,507..1,162,257(-)	AP-1/2 complex subunit beta, putative	7.662
PF3D7_0530200	PF3D7_0530200.1	Plasmodium falciparum 3D7	Pf3D7_05_v3:1,229,052..1,231,469(-)	phosphoenolpyruvate/phosphate translocator	8.666
PF3D7_0603300	PF3D7_0603300.1	Plasmodium falciparum 3D7	Pf3D7_06_v3:130,191..132,792(-)	dihydroorotate dehydrogenase	2.698
PF3D7_0604700	PF3D7_0604700.1	Plasmodium falciparum 3D7	Pf3D7_06_v3:204,545..206,720(-)	glyoxalase I-like protein GILP	12.49
