gene,protein_len,n_features,pooling,n_mutations,wt_probability,n_resistant,seconds
PF3D7_1451200,1504,1504,axis1_perres,28576,0.19812925368933418,0,17486.8
PF3D7_1302700,1566,1536,axis0_1536,29754,0.21009403287011572,18,17032.2
PF3D7_1460500,1632,1632,axis1_perres,31008,0.41271911323522675,0,17038.2
PF3D7_0309200,1650,1536,axis0_1536,31350,0.2231998219035685,3,17051.6
PF3D7_1117200,1821,1536,axis0_1536,34599,0.17738384937620755,0,17087.2
PF3D7_1318300,1840,1536,axis0_1536,34960,0.2579599849533061,37,17095.4
PF3D7_0609700,1901,1536,axis0_1536,36119,0.14814312251066852,3,17112.5
PF3D7_1138800,1920,1920,axis1_perres,36480,0.4058413225729503,3,17085.0
PF3D7_1468600,2008,1536,axis0_1536,38152,0.08037341698522368,2,17110.4
PF3D7_0720700,2166,2166,axis1_perres,41154,0.15563918217696515,5,17141.6
PF3D7_1014900,2279,1536,axis0_1536,43301,0.1649562049062049,1,25631.3
PF3D7_0812100,2651,1536,axis0_1536,50369,0.7150468544277433,316,25698.3
PF3D7_0709300,2729,1536,axis0_1536,51851,0.2904162199589029,500,25742.4
PF3D7_1147000,2940,1536,axis0_1536,55860,0.06503047287749017,74,25783.9
PF3D7_0628200,3072,1536,axis0_1536,58368,0.722348178137652,9906,34279.6
PF3D7_1349500,3381,3381,axis1_perres,64239,0.2499206349206349,15,34329.7
PF3D7_1442900,3384,1536,axis0_1536,64296,0.2852907216237138,234,34341.4
PF3D7_0104300,3499,3499,axis1_perres,66481,0.042333333333333334,0,34338.8
PF3D7_0419900,5035,5035,axis1_perres,95665,0.1,0,102799.6
PF3D7_1346400,5988,5988,axis1_perres,113772,0.14007205513784463,0,119969.8
PF3D7_1343800,7594,1536,axis0_1536,144286,0.18518164841694254,30,92470.6
